index,mean,variance
154,3865608.270967742,22038453227079.76
155,3872198.8076923075,21903045545066.38
156,3848077.9617834394,21853986394512.402
157,3869339.1518987343,21786211065351.01
158,3907410.3144654087,21878780387194.324
159,3895061.0,21765578885664.52
160,3886632.8074534163,21640980560795.086
161,3929917.5679012346,21810082951365.22
162,3906667.2515337425,21763566895113.844
163,3886135.1341463416,21699185206289.64
164,3874667.345454545,21588572280657.39
165,3928454.2409638553,21937975449989.29
166,3913889.568862275,21841244626837.13
167,3892100.5833333335,21790218392451.96
168,3877765.834319527,21695241681494.32
169,3854955.4823529413,21655320537023.934
170,3837304.058479532,21581215241344.6
171,3859525.2906976743,21539940008003.04
172,3906302.12716763,21793244329067.88
173,3883852.1264367816,21754968259205.062
174,3861658.697142857,21716135659160.51
175,3860446.034090909,21592302272489.133
176,3838635.6158192093,21553816635948.0
177,3818613.741573034,21503399490406.34
178,3823801.5642458103,21387411392522.766
179,3813520.1222222224,21286956096328.332
180,3834527.3038674034,21248570833328.438
181,3835336.8791208793,21131294699360.34
182,3814378.7759562843,21095569986679.867
183,3849373.5760869565,21205626678613.01
184,3828566.172972973,21170474092037.938
185,3880389.010752688,21555561908836.777
186,3865402.331550802,21481672094551.88
187,3878252.5531914895,21397840943597.734
188,3923590.9312169314,21672525091360.074
189,3920987.2842105264,21559143652201.695
190,4015148.1884816755,23139133170678.5
191,3998934.8020833335,23068457665103.55
192,4014190.5284974095,22993227725463.082
193,4004236.2783505153,22893314727133.965
194,3983701.7435897435,22857533038169.035
195,3988835.0102040814,22745479603546.82
196,3978938.2842639596,22648726439536.38
197,3969217.8484848486,22552466685624.656
198,3949272.040201005,22517734557078.633
199,3943457.23,22411342515602.93
200,3933283.263681592,22320091230745.184
201,3926347.425742574,22218763382020.57
202,3907005.8226600983,22184711318681.164
203,3887853.843137255,22150253883678.17
204,3920009.0341463415,22253635251088.11
205,3902498.126213592,22208247103495.74
206,3894183.1690821256,22114751750725.797
207,3916093.1923076925,22107767417696.312
208,3921381.043062201,22007323999752.812
209,3902707.819047619,21975250550767.8
210,3884211.5829383885,21942791868820.02
211,3865889.849056604,21909963012236.418
212,3913499.943661972,22289425726177.96
213,3899079.1028037383,22229284114301.766
214,3928474.111627907,22311183261800.33
215,3910286.7407407407,22278858895710.668
216,3893281.1705069123,22238470134370.902
217,3948011.330275229,22788983809822.13
218,3964120.2374429223,22741277005781.37
219,3952527.654545455,22667000913478.016
220,3940399.1674208143,22596478235329.117
221,3987318.126126126,22982940015766.895
222,3969437.784753363,22950707832435.375
223,4003058.089285714,23100982632506.574
224,3993959.6355555556,23016479164317.277
225,4001241.548672566,22926167635818.23
226,3985505.3127753306,22880936226479.17
227,3990001.763157895,22784748869649.37
228,3982318.034934498,22698335847157.086
229,3988294.347826087,22607431229274.46
230,3993372.5627705627,22515095139698.9
231,3976159.7586206896,22486364300766.04
232,3970040.721030043,22398164447412.34
233,3954975.4273504275,22355144345499.465
234,3971082.4936170215,22320577372777.53
235,3954255.881355932,22292416024191.508
236,3980966.464135021,22367045524336.95
237,3964239.722689076,22339258368122.062
238,3952280.577405858,22279577994265.227
239,3947784.7583333333,22191208976049.312
240,3963064.9626556016,22155015404551.17
241,3969866.5702479337,22074281251584.258
242,3998040.2716049384,22175948273255.914
243,3991191.081967213,22096135608145.133
244,3991819.4693877553,22005674418658.688
245,3975592.5691056913,21980630163418.812
246,3965082.4453441296,21918562295549.348
247,3949094.2177419355,21893217785565.06
248,3939087.1807228914,21829873738276.234
249,3925611.12,21787604615772.273
250,3919441.816733068,21710007333311.83
251,3903888.484126984,21684473631290.24
252,3928990.2450592886,21757839028434.723
253,3951189.5118110236,21797012755541.902
254,3959675.5764705883,21729561134511.92
255,3958058.15625,21645016877610.05
256,3944993.0739299613,21604334999071.44
257,3929702.410852713,21580592968117.984
258,3919449.6833976833,21524172929788.418
259,3916439.3,21443424241133.863
260,3951175.3026819923,21675869491800.523
261,3942383.1603053436,21613073246506.492
262,3949436.3574144486,21543664216555.41
263,3934476.378787879,21520832597062.62
264,3919629.3056603773,21497729720590.86
265,3920318.3157894737,21416732491710.098
266,3905635.4831460672,21393779808160.33
267,3891062.223880597,21370571101370.684
268,3913955.4646840147,21431813192061.273
269,3943476.251851852,21587439780313.402
270,3934145.5719557195,21531079989810.4
271,3919681.8088235296,21508532030896.0
272,3917891.5750915753,21430331493238.797
273,3923883.299270073,21361668918344.63
274,3909614.64,21339695148297.7
275,3913904.934782609,21267176486542.13
276,3899775.321299639,21245423434950.387
277,3890900.294964029,21190622129105.09
278,3877476.982078853,21164668576386.797
279,3867099.657142857,21118962433622.914
280,3853337.743772242,21096756230741.855
281,3843330.7517730496,21049918255095.04
282,3835322.6148409895,20993422017665.367
283,3821817.9647887326,20971034977164.37
284,3808408.09122807,20948443346749.758
285,3795092.0,20925653066441.125
286,3782906.0418118467,20895105251916.195
287,3811097.597222222,21051191980515.406
288,3797910.4152249135,21028355175166.11
289,3796593.3448275863,20956095756096.69
290,3783546.6529209623,20933366262322.29
291,3774921.1506849313,20883154888121.64
292,3762037.467576792,20860272096491.47
