,#Movement
589,3052232
590,5234906
591,2
592,729776
593,3049296
594,3976294
595,4019878
596,4294166
597,2
598,2
599,149584
600,3033928
601,2
602,2
603,2
604,4
605,2
606,4
607,10284664
608,13872608
609,717244
610,2316422
611,5559624
612,5868902
613,1291078
614,2260114
615,1662872
616,2
617,334974
618,10254634
619,2
620,5500000
621,2
622,7200560
623,2828684
624,6
625,9567604
626,2352322
627,2
628,1174136
629,2
630,101174
631,170386
632,17828672
633,7980918
634,999290
635,17964690
636,5638422
637,2
638,10290834
639,2
640,1031366
641,4
642,6196784
643,274742
644,6
645,9693818
646,7238216
647,16769722
648,936204
649,4989822
650,684930
651,2
652,6115136
653,2
654,10816076
655,5282054
656,647984
657,413446
658,1867994
659,6990598
660,7274336
661,1942548
662,4507636
663,3089938
664,2942214
665,570072
666,1237754
667,671378
668,4
669,6893268
670,1953502
671,4
672,2
673,9671120
674,3537398
675,2
676,977430
677,10800990
678,15800002
679,4818460
680,7879510
681,2406344
682,5841738
683,1425538
684,2
685,2
686,1067266
687,2
688,8
689,5369514
690,9245556
691,7405268
692,14954004
693,4101044
694,3774562
695,1379592
696,1821746
697,3431456
698,3359260
699,682908
700,738
701,1238548
702,2
703,429116
704,446268
705,11609630
706,2267304
707,2154822
708,1290142
709,4680676
710,4470498
711,589304
712,9675814
713,4102906
714,2
715,12143322
716,3385914
717,15824456
718,4
719,116862
720,756392
721,17181702
722,15679526
723,1655002
724,2
725,2730344
726,1287556
727,2691430
728,7322024
729,1469528
730,3345560
731,724176
732,10442348
733,5675910
734,8592138
735,6
736,253340
737,8010516
738,3428898
739,2
740,5241198
741,7644620
742,6053386
743,4649914
744,2
745,12447206
746,2
747,3859048
748,500016
749,4922242
750,11928882
751,1545572
752,4
753,4700464
754,4
755,5523526
756,2538122
757,2
758,1647634
759,9651804
760,2933442
761,2
762,354468
763,3952232
764,6
765,1941260
766,2
767,6427336
768,2
769,3100428
770,220078
771,8153414
772,2
773,7741812
774,1106004
775,7351068
776,440584
777,4877196
778,2
779,7893448
780,6
781,4415896
782,128982
783,1845746
784,10544514
785,52212
786,2
787,2
788,12001418
789,2
790,3416928
791,2
792,8649120
793,4
794,2924546
795,8006542
796,2
797,7920366
798,61730
799,8
800,2
801,827440
802,2
803,2799228
804,2
805,12258154
806,2
807,12803292
808,522410
809,29254022
810,2041368
811,1928032
812,1077880
813,1589440
814,4
815,213310
816,10685396
817,1052842
818,2
819,103000
820,3521804
821,712628
822,5019020
823,2
824,13471866
825,1380104
826,2326838
827,4268908
828,2
829,684798
830,2067804
831,2
832,6125246
833,2
834,2877358
835,1617818
836,1979670
837,4
838,692246
839,8104638
840,3630600
841,2728156
842,663860
843,4741570
844,2
845,3932304
846,2
847,19055864
848,8035496
849,2357270
850,2167450
851,6363764
852,1648706
853,1973142
854,3912090
855,4257350
856,292278
857,7630314
858,4642800
859,2
860,3888788
861,2603102
862,586636
863,2
864,10559154
865,2
866,772860
867,4977788
868,2100596
869,3066358
870,1446344
871,7923044
872,14714844
873,2821084
874,9437420
875,847810
876,2276070
877,14138916
878,5307174
879,532628
880,4243284
881,4076994
882,1414862
883,2
884,1313194
885,4487596
886,10219006
887,3857526
888,5021254
889,2
890,2
891,2
892,16563388
893,781338
894,2
895,8227360
896,6387458
897,6647716
898,1700450
899,7018040
900,2
901,6
902,292228
903,1506246
904,4
905,2
906,2
907,8232604
908,539400
909,6168130
910,2
911,2
912,2767466
913,3055950
914,155000
915,1615668
916,2
917,4537284
918,11831472
919,1075712
920,3690868
921,1039940
922,2
923,85226
924,5961494
925,860968
926,2
927,4407280
928,2377116
929,732898
930,6184244
931,2
932,15724076
933,3801990
934,3136750
935,8635964
936,904914
937,312762
938,2
939,8474174
940,7207346
941,217022
942,3690042
943,10
944,917202
945,1105882
946,5592886
947,10136324
948,2
949,6696388
950,12353362
951,6401072
952,9531080
953,14006840
954,4
955,971826
956,1513140
957,262180
958,1274246
959,8875246
960,4145146
961,11255530
962,6397516
963,10479858
964,4
965,11520970
966,1635104
967,2
968,2
969,1446414
970,7093968
971,16992688
972,2
973,2
974,703032
975,12
976,2513960
977,5385044
978,1648030
979,3374794
980,711406
981,2
982,9061294
983,11063476
984,6104122
985,2140406
986,2054292
987,15220
988,6176554
989,567620
990,10104198
991,1496154
992,13495422
993,2116082
994,107594
995,7216732
996,2598822
997,2
998,331692
999,4
