index,mean,variance
0,4941374.0,
1,2470689.0,12208568738450.0
2,5623420.0,35923422644308.0
3,4217565.5,31854655930219.668
4,4512162.0,24324927436726.0
5,3905979.3333333335,21664686501583.465
6,3347982.5714285714,20233428122059.62
7,3871840.25,19538353329522.785
8,3441636.222222222,18761738712978.445
9,3097472.8,17861585690160.18
10,3563826.1818181816,18467767365209.965
11,3266840.8333333335,17847282989494.152
12,3464909.846153846,16870016746952.31
13,4179692.4285714286,22725121112818.57
14,4584607.733333333,23561244236645.066
15,4429252.125,22376660461518.65
16,5098119.764705882,28583645813250.94
17,4833636.555555556,28161379505663.906
18,4579234.842105263,27826542826338.36
19,4350273.2,27410456611852.38
20,4221627.142857143,26387479749646.227
21,4179698.5454545454,25169609255064.45
22,4419442.869565218,25347514948802.48
23,4260313.25,24853182741214.543
24,4133238.88,24221330848103.027
25,4049402.846153846,23435218109026.297
26,4051655.185185185,22534000538211.465
27,3955749.285714286,21956950289178.14
28,3819344.206896552,21712357513426.957
29,3726411.6,21222749612943.008
30,3739919.1612903224,20520980706417.273
31,3801663.0625,19981007485626.32
32,3880106.3636363638,19559661600975.113
33,3765985.6470588236,19409744873137.566
34,3758019.657142857,18841091018764.586
35,3677958.6666666665,18533525571571.2
36,3640069.7837837837,18071821412311.508
37,3544278.5263157897,17932080476850.742
38,3486072.564102564,17592313049646.305
39,3402565.65,17420164287772.695
40,3396473.2195121953,16986182006657.574
41,3440805.523809524,16654429719125.037
42,3557258.8372093025,16841034768870.33
43,3638900.909090909,16742661625150.596
44,3852349.2444444443,18412355222149.14
45,3912938.1304347827,18172058375623.36
46,3829684.170212766,18102781057281.707
47,3749899.125,18023166867972.406
48,3711833.5918367347,17718684480824.83
49,3637597.16,17632631065686.22
50,3676253.1764705884,17356187112450.588
51,3679768.4615384615,17016512294002.45
52,3754855.0188679243,16988085200818.25
53,3687964.814814815,16909167458875.248
54,3691713.1636363636,16596807484694.176
55,3818933.9285714286,17201414238325.959
56,3863425.9298245613,17007079802931.281
57,3839914.0344827585,16740772916735.93
58,3790121.8983050846,16598415053613.164
59,3807473.6,16335150878010.416
60,3745056.1967213117,16300550229532.229
61,3715886.8387096776,16086080884324.139
62,3662169.4603174604,16008418041538.996
63,3644514.375,15774265098268.049
64,3695992.5846153847,15700042600345.967
65,3659267.4242424243,15547520152109.266
66,3604651.5223880596,15511805746225.59
67,3599088.6764705884,15282390534795.656
68,3546928.0,15245380293240.236
69,3518963.8857142855,15079172170903.41
70,3473720.5352112674,15009089639901.256
71,3460390.527777778,14810487626238.988
72,3511718.684931507,14797110728534.139
73,3570742.891891892,14852216000108.293
74,3629545.2266666666,14910838971607.559
75,3581788.0789473685,14885364417348.957
76,3535271.3766233767,14856117236048.557
77,3630076.3076923075,15364242695056.217
78,3622724.658227848,15171534917844.795
79,3613438.4,14986388939399.234
80,3568828.172839506,14960254939408.922
81,3568288.2195121953,14775584341050.967
82,3525296.8674698793,14748799565196.705
83,3487136.8095238097,14693423146778.713
84,3475138.1647058823,14530738678235.072
85,3489630.534883721,14377851287662.256
86,3496715.747126437,14215034390593.475
87,3471828.159090909,14106149690065.494
88,3457118.449438202,13965109959164.525
89,3418706.0444444446,13940994768475.146
90,3577057.318681319,16067931297375.4
91,3568257.413043478,15898484950987.479
92,3592226.4086021506,15779105017527.53
93,3661844.4680851065,16065024597020.342
94,3653543.831578947,15900665633839.465
95,3634712.6041666665,15767333258196.732
96,3597241.3608247424,15739287328950.053
97,3560534.836734694,15709068788092.95
