index,mean,variance
0,2039180.0,
1,1019591.0,2079123457842.0
2,2866391.3333333335,11271576142521.334
3,5454330.5,34304100616483.67
4,5965567.6,27034892324444.805
5,7045840.666666667,28629853250948.273
6,6039292.571428572,30950184518648.957
7,5660953.25,27673854724525.65
8,5031958.666666667,27775330556724.004
9,4528763.4,27221237481045.383
10,4462693.090909091,24547131876117.895
11,4208707.166666667,23089680629393.79
12,4132261.6923076925,21241511414093.9
13,4285760.428571428,19937415066109.035
14,4227838.266666667,18563638642554.21
15,3977162.25,18331478178360.465
16,3785643.411764706,17809311703995.883
17,3963696.4444444445,17332357017208.732
18,3924890.210526316,16398060846057.729
19,3973332.3,15581937732706.22
20,3784126.1904761903,15554618835574.762
21,3734458.1818181816,14868194744396.54
22,3572090.5217391304,14798722622469.9
23,3535290.1666666665,14187802286956.846
24,3699663.36,14272107525498.578
25,3558096.3846153845,14222294645986.89
26,3577283.777777778,13685223526970.875
27,3547035.9285714286,13203981503027.404
28,3508767.793103448,12774879790635.814
29,3417021.933333333,12586885777955.723
30,3344088.7741935486,12332219535455.916
31,3239586.0625,12283872138095.87
32,3162110.9696969697,12098080003940.033
33,3111647.2352941176,11818055527628.127
34,3212441.257142857,11826045878584.021
35,3345610.722222222,12126586684944.492
36,3264308.3243243243,12034310011253.227
37,3456277.947368421,13109447163851.781
38,3367655.5384615385,13070765035229.36
39,3367103.15,12735629419133.72
40,3402255.1219512196,12467900790069.81
41,3321249.095238095,12439408656130.188
42,3306271.9534883723,12152877794880.285
43,3240134.9545454546,12062713245566.791
44,3207740.8444444444,11835782698419.545
45,3138007.3913043477,11796452011516.068
46,3185217.234042553,11644759557384.271
47,3118858.5833333335,11608365300887.314
48,3125951.1836734693,11368989301118.488
49,3146552.88,11158190605876.273
50,3395139.2156862747,14086580274545.135
51,3329848.3076923075,14032043756848.691
52,3288006.0,13854988033314.617
53,3229109.4814814813,13780888359016.031
54,3183926.0727272728,13637971446203.701
55,3127070.3571428573,13571032383098.49
56,3090740.245614035,13403925508325.299
57,3098172.379310345,13171972643914.174
58,3222649.9322033897,13859054676575.172
59,3290972.8333333335,13904236573897.535
60,3237022.4918032787,13850048298089.691
61,3402032.0322580645,15311143529338.037
62,3464108.698412698,15306960887740.543
63,3484821.65625,15091450958433.473
64,3433193.3538461537,15028903341799.643
65,3471364.393939394,14893853312152.277
66,3458405.2537313434,14679440802129.195
67,3536214.470588235,14872035318250.166
68,3544051.855072464,14657567213604.393
69,3585241.6285714284,14563900524125.021
70,3703082.1408450706,15341778231988.725
71,3731035.5,15181956949178.791
72,3893008.520547945,16886270371131.781
73,3872080.6486486485,16687361809769.768
74,3879624.2933333335,16466124913583.213
75,4140161.4736842103,21405427879636.203
76,4307205.402597402,23272360425179.062
77,4251984.897435897,23207967704941.58
78,4248565.721518988,22911353227794.438
79,4230287.525,22648063495767.625
80,4181670.12345679,22556418492428.438
81,4177735.7073170734,22279213519742.336
82,4139498.192771084,22128870717940.16
83,4090218.476190476,22066251016890.28
84,4042098.3294117646,22000379177113.895
85,4093634.093023256,21969961590862.582
86,4080399.379310345,21729735636495.848
87,4056105.6136363638,21531905020669.05
88,4175287.595505618,22551410969201.02
89,4154749.2666666666,22335988394732.36
90,4109092.7032967033,22277502227768.75
91,4156257.9782608696,22237354321925.06
92,4111567.139784946,22181390155922.996
93,4084736.0,22010552130196.91
94,4156792.0,22269643698221.195
95,4268664.75,23236715566620.656
96,4224657.917525773,23182516772663.246
97,4181549.1836734693,23125641321954.547
98,4254543.191919192,23417149788835.75
99,4266807.5,23195654247551.95
100,4235233.960396039,23064383433791.84
101,4218537.980392157,22864456288099.684
102,4254081.398058252,22770418409498.652
103,4242525.153846154,22563235251255.586
104,4202120.171428571,22517700139584.703
105,4201253.150943397,22303325535340.34
106,4161989.140186916,22257874695728.16
107,4223601.055555556,22459828211669.72
108,4184852.4403669727,22415525453854.027
109,4182160.9454545453,22210675287276.605
110,4189837.3693693695,22015301008129.6
111,4152428.125,21973703538211.48
112,4153232.1592920353,21777582807859.44
113,4177214.98245614,21650430878097.438
114,4259570.382608696,22240492190206.312
115,4314880.586206896,22401965966104.28
116,4317064.666666667,22209403684116.97
117,4301706.457627119,22047412922023.35
