index,mean,variance
0,2.0,
1,2.0,0.0
2,6351956.0,121041958854348.0
3,5273762.0,85344648442776.0
4,5961696.4,66374755025598.8
5,5083001.666666667,57732430626805.46
6,4626099.714285715,49571674614297.91
7,4818853.5,42787238987512.86
8,4564785.777777778,38019787781350.445
9,4251336.6,34777870787251.605
10,4318471.636363637,31349661952709.457
11,4540636.166666667,29091977626578.516
12,4612969.846153846,26735664253142.973
13,4307164.285714285,25988313266349.453
14,4020020.1333333333,25368781639594.555
15,4161346.625,23997100366237.184
16,3975635.882352941,23083585752234.234
17,3790180.888888889,22344811749622.22
18,3829502.1052631577,21132810322173.543
19,3708739.5,20312229283921.207
20,3581027.238095238,19639136678382.586
21,3699355.272727273,19011973216855.062
22,3538513.8260869565,18742801948107.965
23,3391075.8333333335,18449608596554.75
24,3561217.6,18404580424142.996
25,3424247.846153846,18156175757362.85
26,3431890.5185185187,17459438387060.18
27,3447759.0,16819843164599.553
28,3524591.793103448,16390329544935.81
29,3456977.2,15962297763540.578
30,3459639.6774193547,15430440923788.824
31,3351526.0,15306718916801.291
32,3250425.8181818184,15165685093852.34
33,3432396.2352941176,15831968790823.941
34,3636939.4857142856,16830650595153.021
35,3667781.0,16384018027986.629
36,3680351.135135135,15934752723098.79
37,3589238.210526316,15819543201751.957
38,3568167.128205128,15420555063182.062
39,3490360.95,15267308270083.69
40,3419285.6097560977,15092745426953.844
41,3337874.095238095,15002998742069.844
42,3420418.2790697673,14938766804537.062
43,3522078.0454545454,15046080779498.137
44,3480447.5555555555,14782113794161.252
45,3417596.6086956523,14635333486487.8
46,3379671.234042553,14384775762869.662
47,3319841.3333333335,14250538320991.207
48,3283493.9183673467,14018387700131.328
49,3487865.16,15820678375554.3
50,3499986.31372549,15511757848792.7
51,3432678.923076923,15443180545578.27
52,3373569.886792453,15331371847352.527
53,3415511.592592593,15137092441434.322
54,3404842.0,14863037126076.15
55,3363892.964285714,14686702204872.291
56,3407965.9298245613,14535157964108.709
57,3370562.172413793,14361299574778.285
58,3430152.13559322,14323197820411.842
59,3389637.7666666666,14178916601030.115
60,3376865.1475409837,13952552852105.396
61,3322399.64516129,13907744916348.004
62,3348373.3333333335,13725928296022.58
63,3315864.59375,13575692779862.943
64,3337678.8307692306,13394503541065.111
65,3298212.4545454546,13291235516065.574
66,3364261.2835820895,13382137163507.965
67,3433106.911764706,13504704768358.262
68,3419579.797101449,13318731984170.371
69,3461514.057142857,13248800634515.94
70,3412760.3661971833,13228293543061.523
71,3365360.9444444445,13203742322636.844
72,3345671.506849315,13048657211155.533
73,3326710.378378378,12896513287309.555
74,3292084.5866666664,12812156989599.004
