index,mean,variance
0,4957708.0,
1,2682883.0,10349657561250.0
2,2278431.3333333335,5665572232633.333
3,2405401.0,3841533340102.6665
4,3197073.6,6014877533030.8
5,3843872.3333333335,7321993635074.266
6,3983099.1428571427,6237350093993.142
7,5236066.75,17905722676959.93
8,6620682.0,32921941857133.0
9,5958614.0,33647288683691.555
10,6941442.0,40908019468746.4
11,6964382.833333333,37195423989959.61
12,7008572.153846154,34121190372745.64
13,6812881.857142857,32032609112129.516
14,6995986.8,30247476905601.027
15,6618559.375,30510201823501.715
16,6292448.823529412,30411231769800.53
17,5942868.444444444,30822051729283.09
18,5810554.2105263155,29442349595550.176
19,5901923.8,28059720286027.75
20,5914592.285714285,26660104572862.516
21,5817318.181818182,25598745312031.97
22,5697711.217391305,24764199976273.36
23,5465832.666666667,24977919524346.668
24,5406474.16,24025258685341.31
25,5253544.153846154,23672325594265.254
26,5058968.518518519,23784062835252.492
27,5391019.928571428,25990399508839.55
28,5270111.931034483,25486114527135.85
29,5207219.6,24725946350805.906
30,5296693.741935484,24149922423440.2
31,5523854.25,25022153353417.484
32,5356464.848484849,25164845048530.008
33,5198921.94117647,25246146086321.33
34,5216020.571428572,24513845088377.547
35,5127390.333333333,24096241002197.37
36,5120628.324324325,23428592790694.56
37,5148618.2105263155,22825158061860.062
38,5099036.102564103,22320373039369.676
39,5172447.6,21963625700181.168
40,5083987.219512195,21735369853234.574
41,5097188.047619048,21212557879438.145
42,5089086.837209302,20710319050781.188
43,5016573.2727272725,20460045273509.973
44,4952658.444444444,20178873981915.617
45,4844992.0,20263689470023.465
46,4829358.468085106,19834661625590.996
47,4728747.083333333,19898534784050.887
48,4632242.081632653,19940329528358.996
49,4543038.56,19931247441363.598
50,4453959.450980392,19937311963386.414
51,4382852.384615385,19809307451955.77
52,4344633.849056603,19505774024119.516
53,4264177.703703703,19487292883518.855
54,4431512.909090909,20666475992288.418
55,4453087.178571428,20316787033140.33
56,4616641.824561403,21478744231511.04
57,4791791.482758621,22881213517736.92
58,4721909.254237288,22774837862319.99
59,4750029.266666667,22436267767205.418
60,4929931.672131147,24036587376091.625
61,4850416.677419355,24034548291899.14
62,4797444.031746032,23823678662137.87
63,4771189.5625,23489640050525.14
64,4697786.676923077,23472833359451.91
65,4718326.060606061,23139556020846.64
66,4758429.671641791,22896712761610.496
67,4689220.588235294,22880683791459.707
68,4621260.898550725,22862880987587.24
69,4750826.714285715,23706645928812.99
70,4756608.901408451,23370353350243.86
71,4705969.166666667,23225829000802.113
72,4652943.506849315,23108503646189.42
73,4590065.918918919,23084514540452.98
74,4528865.066666666,23053477464987.82
75,4513676.605263158,22763630156799.9
76,4535272.415584415,22500019892172.562
77,4479949.41025641,22446541365269.625
78,4423241.215189873,22412814925548.66
79,4394208.15,22196541917449.293
80,4470318.592592592,22388301900684.043
81,4655913.926829268,24936444615201.426
82,4599818.602409638,24893516522093.92
83,4562538.904761905,24710335808248.902
84,4556154.658823529,24419629624542.13
85,4537894.23255814,24161015976649.258
86,4510483.218390805,23945442572107.473
87,4540472.159090909,23749349217673.95
88,4576423.438202247,23594502257098.27
89,4534768.066666666,23485560788163.637
90,4484935.560439561,23450588472335.18
91,4473003.456521739,23205988207473.24
92,4424906.688172043,23168886023906.74
93,4385583.319148936,23065112988222.844
94,4345077.031578948,22975611582401.69
95,4301794.833333333,22913604513186.414
96,4366636.226804123,23082748544642.41
97,4363926.102040816,22845501852871.54
98,4382439.818181818,22646317497875.52
99,4352438.92,22507572205250.383
100,4311044.673267326,22455558333116.984
101,4309589.705882353,22233441999262.37
102,4299513.902912621,22025923823665.914
103,4258172.442307692,21989828005002.484
104,4217670.552380952,21950629675310.195
105,4191463.7924528304,21814376251543.465
106,4152291.2523364485,21772770454381.555
107,4130712.1296296297,21619577740333.26
108,4136132.0366972475,21422598382755.56
109,4115129.2181818183,21274583805328.895
110,4197138.396396397,21827709587576.504
111,4159663.964285714,21788348858202.027
112,4122852.8141592923,21746931896531.125
113,4088361.701754386,21690099770964.84
114,4072115.652173913,21530188162487.887
115,4037011.2413793104,21485918215227.39
116,4100010.769230769,21765060821949.79
117,4115786.0508474577,21608400083268.55
118,4085732.3865546216,21532761554418.332
119,4051684.6333333333,21490923918260.91
120,4049457.504132231,21312433058250.625
121,4038949.37704918,21149768577496.67
122,4010993.138211382,21072540627329.324
123,3997411.2419354836,20924093179214.16
124,4001995.296,20757977186243.316
125,3986303.111111111,20622940196743.34
126,3954914.94488189,20584388624560.38
127,3931862.984375,20490325113418.023
128,3901383.472868217,20450085528667.727
129,3908360.0153846154,20297885112784.66
130,3977628.534351145,20770302266289.965
131,3955373.3181818184,20677129233963.234
132,3925633.6842105263,20638115610747.39
133,3904591.6716417912,20542272492417.16
134,3929750.7703703702,20474424285021.62
135,3900855.5588235296,20436312804956.137
136,3929322.3503649635,20397064875268.234
137,3922599.855072464,20254417678175.46
138,3919384.4028776977,20109083675041.523
139,3976759.6428571427,20425282551092.453
140,3962323.475177305,20308772489884.043
141,4011470.563380282,20507730594032.086
142,3990431.5104895104,20426607725801.26
143,3981392.972222222,20295528420188.65
144,4005205.668965517,20236808706901.285
145,3977772.7808219176,20207118758299.945
146,3955552.5986394556,20141293100242.496
147,3956750.7297297297,20004489957601.324
148,3932342.013422819,19958096514245.766
149,3906126.4133333336,19927238210982.094
150,3899313.377483444,19801398992323.49
151,3884648.263157895,19702953867542.668
152,3863782.888888889,19639939839083.688
153,3875608.8311688313,19533111567484.91
154,3859936.606451613,19444344067959.043
155,3858466.5,19319233836100.17
156,3877796.4458598727,19254055142251.527
157,3853253.4683544305,19226590372035.395
158,3891425.7987421383,19336586253549.03
159,3867104.4,19309617373410.566
160,3875209.0186335403,19199507524581.164
161,3916377.5679012346,19354821535756.27
162,3902504.0981595092,19266720454261.383
163,3931446.8780487804,19285899974544.066
164,3919991.8545454545,19189953921450.965
165,3896377.4578313255,19166219365952.465
166,3874615.7964071855,19129846387771.316
167,3931742.285714286,19563553620534.535
168,3908477.550295858,19538574794083.9
169,3885486.564705882,19512821446607.59
170,3877465.941520468,19409040641744.78
171,3855597.7093023257,19377791247916.76
172,3934516.797687861,20342612165401.484
173,3956602.620689655,20309899154358.23
174,3933993.497142857,20282630777821.867
175,3911641.284090909,20254663401904.293
176,3943389.525423729,20317987383628.418
177,3952747.191011236,20218783225589.453
178,3950030.1452513966,20106515994224.098
179,3928085.5444444446,20080870880052.2
180,3916703.82320442,19992757873961.93
181,3895183.4835164836,19966589401830.656
182,3873898.338797814,19939792368237.89
183,3867471.8804347827,19838430837748.69
184,3932104.227027027,20503421220661.586
185,3910963.8924731184,20475717873345.637
186,3902586.256684492,20378757922773.316
187,3881827.829787234,20350792117681.047
188,3861289.0687830686,20322271116415.86
189,3841243.210526316,20291094794731.13
190,3821132.0104712043,20261551489191.82
191,3816601.5,20159410968607.336
192,3843776.07253886,20196936313264.44
193,3823962.8041237113,20168446702280.145
194,3805940.2871794873,20127823804620.42
195,3795151.551020408,20047417973636.36
196,3786025.30964467,19961543020357.61
197,3772294.202020202,19897546967498.402
198,3753337.969849246,19868562714932.11
199,3736638.51,19824495083090.3
200,3735117.6616915422,19725837516569.89
201,3744922.6435643565,19647118830706.875
202,3762686.906403941,19613916380147.895
203,3763734.0,19517519769032.957
204,3785203.7658536583,19516340575909.33
205,3801493.145631068,19475799756631.16
206,3786084.685990338,19430403109465.46
207,3767882.3846153845,19405451773048.906
208,3753066.5741626793,19358033553860.758
209,3790056.5904761907,19552746258190.09
210,3779568.3033175357,19482848822022.13
211,3778365.396226415,19390819806534.05
212,3784190.0657276995,19306580078403.383
213,3786335.3644859814,19216923751025.145
214,3808235.9720930234,19230246913823.098
215,3809118.027777778,19140971957723.492
216,3798505.714285714,19076795146698.984
217,3781081.3853211007,19055070026618.12
218,3782432.584474886,18968061285388.918
219,3770961.3,18910399014251.668
220,3753898.135746606,18888787153024.74
221,3744415.2882882883,18823280743791.664
222,3727624.197309417,18801363975077.848
223,3710983.026785714,18779084922495.617
224,3694489.777777778,18756455856087.266
225,3706582.017699115,18706140062247.44
226,3693988.308370044,18659372074827.543
227,3682310.1403508773,18608266748534.652
228,3666230.192139738,18585862867691.516
229,3653388.4434782607,18542631311467.6
230,3652444.606060606,18462216956846.18
231,3636766.9137931033,18439317227798.582
232,3632404.9871244635,18364270564354.703
233,3629434.299145299,18287518999464.793
234,3638524.1021276596,18228783970659.45
235,3629840.9576271186,18169008368793.758
236,3616956.700421941,18131364013040.99
237,3663369.9159663864,18567556772784.035
238,3666488.3682008367,18491866042257.484
239,3659956.825,18424732871393.15
240,3655423.1701244814,18352916671489.484
241,3650806.223140496,18281922010547.594
242,3635782.3374485597,18261226143604.703
243,3629356.1967213117,18196153114278.16
244,3614542.5142857144,18175342787157.99
245,3605020.5203252034,18123462133327.406
246,3602337.093117409,18051568116079.473
247,3602108.379032258,17978497817267.375
248,3587642.0963855423,17958112934525.867
249,3600752.152,17928960388599.39
250,3641675.880478088,18277607186734.6
251,3638059.484126984,18208083771883.42
252,3629269.723320158,18155376224646.773
253,3691285.8267716537,19060499104488.074
254,3682427.91372549,19005465738432.05
255,3695350.453125,18973684458522.28
256,3680971.673151751,18952703077180.59
257,3682813.007751938,18879831903192.574
258,3740385.0965250963,19665121520234.4
259,3725999.0076923077,19643003893612.934
260,3711723.157088123,19620645655270.957
261,3717527.435114504,19554297454275.645
262,3720266.319391635,19481635622270.688
263,3737358.507575758,19484686686897.227
264,3723255.290566038,19463589748963.63
265,3720252.6240601502,19392540498111.7
266,3762816.0898876404,19803346392932.004
267,3774837.0970149254,19767903792365.293
268,3760804.252788104,19747114630217.5
269,3791056.3925925926,19920807112092.363
270,3797582.4723247234,19858568158228.145
271,3790321.919117647,19799627961077.188
272,3779268.945054945,19760187139547.484
273,3797941.562043796,19783340156981.855
274,3784130.8727272726,19763590348940.33
275,3770887.579710145,19740128955214.207
276,3757274.274368231,19719940965660.75
277,3750740.7482014387,19660616819080.895
278,3737297.240143369,19640318262431.953
279,3723949.757142857,19619806341159.125
280,3710697.28113879,19599087106013.395
281,3741345.0283687944,19794217668764.062
282,3736161.0812720847,19731630553550.23
283,3723005.6056338027,19711058374541.797
284,3709942.4350877195,19690287470464.246
285,3707642.7482517483,19622711270527.156
286,3699532.8571428573,19572976477758.926
287,3714095.0625,19565850607006.895
288,3706749.8615916953,19513505746907.36
289,3693967.9862068966,19493364103898.42
290,3681273.9450171823,19473036963370.742
291,3668666.8561643837,19452529407863.62
292,3660741.098976109,19404316721180.02
293,3650420.680272109,19369404630662.074
294,3639588.5491525424,19338136146040.84
295,3627292.6486486485,19317335136239.645
296,3617314.760942761,19281642667079.664
297,3610706.422818792,19229735010860.938
298,3621458.220735786,19199770445119.87
299,3651378.8933333335,19404131160646.09
300,3671313.8604651163,19459069000722.062
301,3659157.1986754965,19439051827564.117
302,3647080.778877888,19418873600564.598
303,3637170.5065789474,19384641811913.46
304,3625245.363934426,19364250296058.44
305,3613398.163398693,19343709935948.83
306,3601628.1498371335,19323024895902.516
307,3602463.9285714286,19260298592766.746
308,3591511.165048544,19234833731672.81
309,3583332.916129032,19193319042990.24
310,3574765.8649517684,19154230758380.27
311,3563308.2884615385,19133599722371.805
312,3577503.9233226837,19135348605607.727
313,3566904.426751592,19109490995402.3
314,3562461.714285714,19054850117451.742
315,3567568.4683544305,19002599473906.688
316,3588659.4889589907,19083476140039.97
317,3611647.238993711,19191318755078.06
318,3603068.614420063,19154444799164.445
